count	DateAsNumber
1	2013-05-13
1	2013-05-13
1	2013-05-13
1	2013-06-03
1	2013-06-03
1	2013-06-03
1	2013-06-03
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-05
1	2013-06-10
1	2013-06-10
1	2013-06-10
1	2013-06-10
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-11
1	2013-06-13
1	2013-06-13
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-18
1	2013-06-22
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-02
1	2013-07-15
1	2013-07-15
1	2013-07-15
1	2013-07-15
1	2013-07-19
1	2013-07-19
1	2013-07-19
1	2013-07-19
1	2013-07-19
1	2013-07-19
1	2013-07-19
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-07-22
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-02
1	2013-08-03
1	2013-08-03
1	2013-08-03
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-08-08
1	2013-09-05
1	2013-09-05
1	2013-09-06
1	2013-09-06
1	2013-09-06
1	2013-09-09
1	2013-09-09
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-09-10
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-10-17
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-01
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-08
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-11-25
1	2013-12-09
1	2013-12-09
1	2013-12-09
1	2013-12-09
1	2013-12-09
1	2013-12-09
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-12
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-16
1	2013-12-22
1	2013-12-22
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-23
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2013-12-31
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-02
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
